customernumber;date;salutation;title;domain;datecreated;newsletter;model;paymenttype;deliverytype;invoicepostcode;delivpostcode;voucher;advertisingdatacode;case;numberitems;gift;entry;points;shippingcosts;deliverydatepromised;deliverydatereal;weight;remi;cancel;used;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10
6044;2008-07-02;2;0;12;2008-07-02;0;1;2;0;29;;0;;5;1;0;0;0;0;2008-08-01;2008-07-03;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0
36314;2008-09-09;1;0;4;2008-09-09;0;3;1;1;31;;0;;2;1;0;1;0;0;2008-09-11;2008-09-11;260;0;0;0;1;0;0;0;0;0;0;0;0;0;0
41932;2008-10-11;0;0;5;2008-10-11;1;1;2;0;50;;1;AX;1;1;0;0;0;0;2008-10-14;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
3194;2008-09-15;2;0;12;2008-09-15;0;1;0;0;65;;0;;3;1;0;0;0;0;2008-09-16;2008-09-15;719;0;0;0;0;0;1;0;0;0;0;0;0;0;0
35363;2008-04-02;0;0;0;2008-04-02;0;1;3;0;20;;0;;3;2;0;0;0;0;2008-05-02;2008-04-02;636;0;0;0;0;1;0;0;0;0;0;0;0;1;0
35405;2008-08-14;0;0;9;2008-08-13;0;2;3;0;47;;1;;1;3;0;1;0;0;2008-08-27;2008-08-20;1346;0;0;0;3;0;0;0;0;0;0;0;0;0;0
39917;2008-12-20;1;0;4;2008-12-20;0;1;0;0;73;;0;;3;3;0;0;0;0;2008-12-23;2008-12-21;450;0;0;0;0;3;0;0;0;0;0;0;0;0;0
39868;2008-05-31;1;0;4;2008-05-31;0;2;2;0;51;;0;;3;2;0;1;0;0;2008-06-03;2008-06-02;872;0;0;0;1;1;0;0;0;0;0;0;0;0;0
52322;2008-12-07;1;0;9;2008-12-07;0;1;2;0;49;;0;;3;1;0;0;0;0;2008-12-23;2008-12-10;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
3022;2008-12-08;1;0;12;2008-12-08;0;1;2;0;01;;0;;4;3;0;0;0;0;2008-12-10;2008-12-09;1048;0;0;0;2;0;1;0;0;0;0;0;0;0;0
41254;2008-08-16;0;0;4;2008-08-16;0;2;1;1;44;;0;;4;5;0;1;0;0;2008-08-19;2008-08-19;688;0;0;0;4;1;0;0;0;0;0;0;0;0;0
66166;2008-06-13;0;0;8;2008-06-13;0;1;1;1;41;;0;BQ;2;1;0;0;0;0;2008-06-17;2008-06-16;86;0;0;0;0;0;0;0;0;0;0;0;0;1;0
49257;2008-08-31;0;0;9;2008-08-31;0;3;1;1;22;;0;;2;1;0;1;0;0;2008-09-02;2008-09-02;398;0;0;0;1;0;0;0;0;0;0;0;0;0;0
64607;2008-06-16;1;0;4;2008-06-16;0;1;0;0;01;;1;AP;1;1;0;0;0;0;2008-06-18;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
41147;2008-05-30;1;0;8;2008-05-30;0;1;2;0;71;;0;;2;1;0;0;0;1;2008-06-03;2008-05-31;433;0;0;0;0;1;0;0;0;0;0;0;0;0;0
20995;2008-11-07;1;0;12;2008-11-05;0;3;3;0;45;;0;AQ;3;1;0;0;0;1;2008-11-10;2008-11-07;110;0;0;0;0;0;0;0;0;0;1;0;0;0;0
36793;2008-12-28;1;0;4;2008-12-28;0;2;0;0;50;;1;;1;2;0;1;0;0;2008-12-30;2008-12-29;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0
16189;2008-04-17;1;0;12;2008-04-17;0;1;0;0;76;;1;AB;3;1;0;0;0;0;2008-04-21;2008-04-18;820;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2372;2008-08-11;1;0;8;2008-08-11;0;1;0;0;34;;0;;1;1;0;0;0;1;2008-08-13;2008-08-12;534;1;0;0;1;0;0;0;0;0;0;0;0;0;0
4917;2008-04-08;0;0;12;2008-04-08;0;2;3;0;47;;0;;3;1;0;1;0;0;2008-04-09;0000-00-00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
376;2008-05-01;0;0;9;2008-05-01;0;1;1;1;36;;0;;2;1;0;0;0;0;2008-05-14;2008-05-08;114;0;0;0;0;0;0;0;0;0;1;0;0;0;0
8920;2008-04-16;0;0;4;2008-04-16;0;1;2;0;58;;0;;1;1;0;0;0;0;2008-04-18;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
23324;2008-05-06;1;0;8;2008-05-06;0;3;1;1;55;;0;;4;2;0;1;0;0;2008-05-08;2008-05-08;502;0;0;0;0;0;0;0;2;0;0;0;0;0;0
42134;2008-10-19;1;0;0;2008-10-19;0;1;0;0;76;;0;;3;1;0;0;0;0;2008-10-21;2008-10-20;696;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2120;2008-04-30;0;0;9;2008-04-30;0;1;1;1;22;;0;;1;1;0;0;0;0;2008-06-02;2008-05-02;180;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3110;2008-07-22;0;0;11;2008-07-22;0;1;0;0;48;;0;BR;5;5;0;0;0;0;2008-07-24;2008-07-23;1747;0;0;0;0;0;5;0;0;0;0;0;0;0;0
60380;2008-11-23;0;0;12;2008-11-23;0;1;3;0;28;;0;;2;1;0;0;0;0;2008-11-25;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
65520;2008-08-04;0;0;11;2008-08-04;0;1;0;0;55;;0;;4;2;0;0;0;0;2008-08-06;2008-08-05;814;0;0;0;0;0;2;0;0;0;0;0;0;0;0
64089;2008-10-28;0;0;9;2008-10-28;1;1;0;0;17;;0;BY;3;5;0;0;0;0;2008-10-30;2008-12-06;1541;0;1;0;4;0;0;0;0;0;0;0;0;0;0
53485;2008-10-12;0;0;4;2008-10-12;0;3;0;0;63;;1;;1;1;0;1;0;1;2008-10-14;2008-10-13;524;0;0;0;1;0;0;0;0;0;0;0;0;0;0
